n;r;a;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
20;50.00;1;1;20;0.95;156;15600;15600;0.0012660641223192215;755.1573699220313;674.4162253923714;628.4866342722751;0
20;50.00;1;2;20;0.95;156;15600;15600;0.0013264268636703491;737.9804586165203;565.5076311845332;548.7419075974434;0
20;50.00;1;3;20;0.95;156;15600;15600;0.001217566430568695;610.6231954206921;603.3106619119644;554.733723044506;0
20;100.00;0;0;20;0.95;156;15600;15600;0.0016344282776117325;314.6095212335366;988.999639203772;302.1198150252733;0
20;100.00;0;1;20;0.95;156;15600;15600;0.0013841353356838226;527.3775819255143;810.9161401689053;476.71148834680804;0
20;100.00;0;2;20;0.95;156;15600;15600;0.0014871098101139069;443.1275814031238;902.1553035490215;363.115049288597;0
20;100.00;0;3;20;0.95;156;15600;15600;0.0015193931758403778;506.4473782066522;1461.0080983564258;488.67780599869735;0
20;100.00;1;0;20;0.95;156;15600;15600;0.001882193610072136;501.9365651777607;980.0787905976176;365.30650466701456;0
20;100.00;1;1;20;0.95;156;15600;15600;0.002165466547012329;584.0741601896345;1072.1782499272376;493.2825082432821;0
20;100.00;1;2;20;0.95;156;15600;15600;0.0020432937890291214;454.11120220815366;1185.1817022822797;415.2375248251453;0
20;100.00;1;3;20;0.95;156;15600;15600;0.0014964379370212555;482.24701834429055;664.772711597383;359.2539870356947;0
20;200.00;0;0;20;0.95;156;15600;15600;0.0017727669328451157;309.96940598890285;818.0603987853974;303.7820866760989;0
20;200.00;0;1;20;0.95;156;15600;15600;0.001654038205742836;364.4152975637106;883.8581150453538;311.30568169841405;0
20;200.00;0;2;20;0.95;156;15600;15600;0.0018846988677978516;367.83766662696615;1064.0836497545242;345.2798365013986;0
20;200.00;0;3;20;0.95;156;15600;15600;0.0018427502363920212;290.1313638593092;796.8269368708134;285.69741368269626;0
20;200.00;1;0;20;0.95;156;15600;15600;0.0017539411783218384;334.48764297650234;1095.0207060538232;305.0575293655214;0
20;200.00;1;1;20;0.95;156;15600;15600;0.0021003130823373795;346.15338569363985;753.7217265591025;337.97257784402916;0
20;200.00;1;2;20;0.95;156;15600;15600;0.001747630536556244;332.6717468239781;828.7917387764901;313.7156780931258;0
20;200.00;1;3;20;0.95;156;15600;15600;0.001599011942744255;365.8726207725631;1098.6831627823412;318.9550780896322;0
30;25.00;0;0;30;0.95;236;23600;23600;0.003292744979262352;2599.09416427315;1502.0063403269742;2088.943703852095;0
30;25.00;0;1;30;0.95;236;23600;13;0.0017765240045264363;3211.3894369342943;5.5810389459948055;3134.711761647223;240.71927666974915
30;25.00;0;2;30;0.95;236;23600;23600;0.002152077970094979;2744.9732672504856;1406.691617068951;2291.274396857984;0
30;25.00;0;3;30;0.95;236;23600;23600;0.0023159749689511955;2860.3095829365557;1424.9891960470122;2082.8224590126188;0
30;25.00;1;0;30;0.95;236;23600;23600;0.0026188179617747664;3380.817488198492;1142.5442833410343;2920.076694276706;0
